17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
6.1,6.7,150.0,1.02,280.0,5000.0,2.0
5.0,6.7,206.0,1.77,220.0,2300.0,2.0
1.7,6.4,154.0,0.1,3000.0,14000.0,7.0
5.7,7.3,151.0,0.9,3000.0,3000.0,2.0
6.1,6.7,150.0,1.02,280.0,5000.0,2.0
5.0,6.7,206.0,1.77,220.0,2300.0,2.0
1.7,6.4,,0.1,3000.0,,7.0
5.7,7.3,,0.9,3000.0,,2.0
6.1,6.7,,1.02,280.0,,2.0
5.0,6.7,,1.77,220.0,,2.0
6.0,7.3,158.0,1.35,800.0,1700.0,2.0
4.2,7.4,164.0,1.59,50.0,1700.0,4.0
1.9,7.1,139.0,0.14,1700.0,11000.0,7.0
5.5,7.2,145.2,0.86,1100.0,8000.0,2.0
1.9,7.1,139.0,0.14,1700.0,11000.0,7.0
5.5,7.2,145.2,0.86,1100.0,8000.0,2.0
6.0,7.3,158.0,1.35,800.0,1700.0,2.0
4.2,7.4,164.0,1.59,50.0,1700.0,4.0
1.9,7.1,,0.14,1700.0,,7.0
5.5,7.2,,0.86,1100.0,,2.0
6.0,7.3,,1.35,800.0,,2.0
4.2,7.4,,1.59,50.0,,4.0
2.8,7.0,,0.1,130.0,,3.0
6.1,6.9,,0.65,2800.0,,2.0
5.8,7.1,,0.83,14000.0,,2.0
4.9,7.0,,1.43,500.0,,2.0
2.8,7.0,,0.16,170.0,,2.0
5.4,7.0,,1.04,3000.0,,2.0
5.6,7.0,,0.79,90.0,,2.0
5.0,7.0,,0.75,1400.0,,2.0
2.8,6.8,,0.04,500.0,,2.0
5.5,7.0,,0.38,2800.0,,2.0
7.2,7.1,,0.13,1300.0,,2.0
4.5,6.4,,0.05,2300.0,,2.0
3.2,6.1,,0.12,,,3.0
6.1,6.4,,0.13,,,2.0
6.9,6.9,,0.66,,,2.0
5.8,6.9,,0.05,,,3.0
3.2,6.1,,0.12,1600.0,,3.0
6.1,6.4,,0.13,2800.0,,2.0
6.9,6.9,,0.66,350.0,,2.0
5.8,6.9,,0.05,30000.0,,3.0
3.3,6.4,,0.0,800.0,,2.0
6.3,6.7,,0.0,17000.0,,2.0
7.0,6.8,,0.0,800.0,,2.0
4.7,6.8,,0.0,160000.0,,4.8
4.6,7.0,,0.15,1100.0,,2.0
7.1,6.6,,1.13,23.0,,2.0
7.2,6.6,,2.07,17000.0,,2.0
5.3,6.6,,0.95,17000.0,,2.0
3.4,,,1.46,,24196.0,2.0
2.2,,,0.97,,24196.0,2.0
5.9,7.2,,1.24,,24196.0,3.7
7.0,7.5,,3.5,,14136.0,4.2
3.3,6.7,220.0,0.61,,24195.7,
5.4,7.4,311.0,2.02,,24196.0,
4.1,7.0,,3.01,,24195.7,5.2
5.7,6.8,,0.98,,7270.0,2.0
2.6,7.2,,0.11,,24195.7,2.0
3.5,6.8,,1.36,,24196.0,2.0
7.7,7.7,,0.45,,24196.0,2.0
9.0,8.1,,1.0,,6867.0,2.0
8.1,7.9,335.0,0.47,,19862.9,
6.7,7.7,319.0,0.92,,24196.0,
6.8,6.6,,0.98,,6866.7,2.0
7.8,7.5,,0.67,,7270.0,2.0
5.3,7.8,,0.19,,15531.2,2.0
4.6,7.0,,0.56,,24196.0,2.0
,6.1,70.0,,,,
,7.1,,,,,
,7.6,15.0,,,,
,,90.0,,,,
8.4,,80.0,,,,
8.5,,73.0,,,,
7.8,7.6,68.0,,,,
5.8,6.4,41.0,,,,
6.9,6.2,106.0,,,,
8.4,6.0,44.4,,,,
7.4,6.6,106.0,,,,
7.6,6.9,92.0,,,,
8.0,6.5,70.0,,,,
8.6,6.6,70.0,,,,
6.7,6.7,84.0,,,,
4.8,5.7,104.0,,,,
8.0,6.5,70.0,,,,
8.4,6.4,75.0,,,,
8.59,6.6,70.4,,,,
6.3,7.1,72.0,,,,
7.2,5.8,75.0,,,,
7.6,6.0,91.0,,,,
7.8,5.6,72.0,,,,
6.8,6.5,87.0,,,,
6.9,6.4,59.0,,,,
8.2,5.7,80.0,,,,
6.0,5.5,84.0,,,,
7.7,5.9,80.0,,,,
6.2,6.2,84.0,,,,
7.7,6.5,252.0,,,,
7.0,5.5,48.0,,,,
8.0,6.5,67.0,,,,
7.8,6.2,71.0,,,,
7.5,7.4,66.0,,,,
5.4,6.5,67.0,,,,
8.2,5.5,63.0,,,,
6.6,7.7,73.7,,,,
7.4,7.59,101.6,,,,
7.2,7.32,59.4,,,,
6.9,7.02,67.7,,,,
7.6,7.48,76.3,,,,
7.7,7.07,69.0,,,,
9.8,6.86,72.0,,,,
8.4,7.3,68.2,,,,
,7.34,51.95,,,,
,7.32,43.17,,,,
,7.0,59.49,,,,
,7.08,48.12,,,,
6.49,7.26,65.0,,,,
5.95,7.67,74.5,,,,
4.77,7.18,68.18,,,,
,7.73,64.48,,,,
,7.5,61.7,,,,
,7.14,47.0,,,,
,7.01,47.0,,,,
,7.5,50.5,,,,
,7.0,47.1,,,,
,7.4,44.6,,,,
,7.5,48.1,,,,
,7.9,57.8,,,,
6.7,7.3,50.1,,,,
6.22,1.0,26061.0,,,,
,6.9,42.2,,,,
6.85,6.62,48.0,,,,
7.43,7.29,57.0,,,,
